Library,Rep,FASTQ_Read_Count,Total_Replicate_Edited_Read_Count,Percent_5N_Insertion_Reads
AllU6AltTarget_iBC_EMX1_HEK293T,1,6500760,137338,2.1126452907044713
AllU6AltTarget_iBC_EMX1_HEK293T,2,8391319,169052,2.014605808693484
AllU6AltTarget_iBC_EMX1_HEK293T,3,12185739,219759,1.8034113482982033
AllU6AltTarget_iBC_EMX1_HEK293T,4,13084495,254171,1.9425358028720252
AllU6AltTarget_iBC_HBB_HEK293T,1,4131859,168130,4.069112716576243
AllU6AltTarget_iBC_HBB_HEK293T,2,5099499,199502,3.9121882365306866
AllU6AltTarget_iBC_HBB_HEK293T,3,5768060,270108,4.682822300738897
AllU6AltTarget_iBC_HBB_HEK293T,4,7034016,350299,4.980071128641163
AllU6AltTarget_iBC_synHEK3_HEK293T,1,5777620,611158,10.578023476794943
AllU6AltTarget_iBC_synHEK3_HEK293T,2,9594947,1048933,10.932139593892494
AllU6AltTarget_iBC_synHEK3_HEK293T,3,14323361,1575673,11.000721129628724
AllU6AltTarget_iBC_synHEK3_HEK293T,4,15790676,1786134,11.311320680634571
DivScaffoldAltTarget_iBC_EMX1_HEK293T,1,10420414,184800,1.7734420148758008
DivScaffoldAltTarget_iBC_EMX1_HEK293T,2,15000792,251821,1.6787180303546638
DivScaffoldAltTarget_iBC_EMX1_HEK293T,3,21421820,364514,1.7016014512305677
DivScaffoldAltTarget_iBC_EMX1_HEK293T,4,30717582,537018,1.7482430746013795
DivScaffoldAltTarget_iBC_HBB_HEK293T,1,6930212,107218,1.5471099585409507
DivScaffoldAltTarget_iBC_HBB_HEK293T,2,10436989,172442,1.6522198116717381
DivScaffoldAltTarget_iBC_HBB_HEK293T,3,11219294,196615,1.7524721252513749
DivScaffoldAltTarget_iBC_HBB_HEK293T,4,19498638,348007,1.784775941786293
DivScaffoldAltTarget_iBC_synHEK3_HEK293T,1,11571680,784294,6.777702114126903
DivScaffoldAltTarget_iBC_synHEK3_HEK293T,2,13936522,983543,7.057305976340439
DivScaffoldAltTarget_iBC_synHEK3_HEK293T,3,16879105,1185649,7.024359407681864
DivScaffoldAltTarget_iBC_synHEK3_HEK293T,4,17830106,1277030,7.162212047421367
AllU6AltTarget_iBC_CLYBL_HEK293T,1,2999107,63164,2.1060935805224688
AllU6AltTarget_iBC_CLYBL_HEK293T,2,3785760,82335,2.174860529986053
AllU6AltTarget_iBC_CLYBL_HEK293T,3,4241503,81756,1.9275242761822873
AllU6AltTarget_iBC_CLYBL_HEK293T,4,5731476,118312,2.0642501163749096
AllU6AltTarget_iBC_FANCF_HEK293T,1,8898089,181501,2.039775057318487
AllU6AltTarget_iBC_FANCF_HEK293T,2,11989009,277864,2.3176561131950106
AllU6AltTarget_iBC_FANCF_HEK293T,3,15398447,360891,2.3436843988228167
AllU6AltTarget_iBC_FANCF_HEK293T,4,15632509,391486,2.504306890211929
DivScaffoldAltTarget_iBC_CLYBL_HEK293T,1,3328132,42171,1.26710719406562
DivScaffoldAltTarget_iBC_CLYBL_HEK293T,2,4457224,61056,1.3698212160752972
DivScaffoldAltTarget_iBC_CLYBL_HEK293T,3,8272174,113334,1.370063057184242
DivScaffoldAltTarget_iBC_CLYBL_HEK293T,4,24394545,316159,1.2960233527618572
DivScaffoldAltTarget_iBC_FANCF_HEK293T,1,11884350,152639,1.2843697804255176
DivScaffoldAltTarget_iBC_FANCF_HEK293T,2,13804455,187383,1.3574096188513056
DivScaffoldAltTarget_iBC_FANCF_HEK293T,3,18603067,258241,1.3881635753932402
DivScaffoldAltTarget_iBC_FANCF_HEK293T,4,24259417,317880,1.3103365179798014
