"","Name","Colour_Lib","K562","HEK293T","iPSC","mESC"
"1","Callorhinchus_milii_RNU6-8_ENSCMIG00000009541","Div",NA,NA,NA,NA
"2","Terrapene_carolina_triunguis_RNU6-8_ENSTMTG00000016059","Div",NA,NA,NA,NA
"3","SynU61-20","Syn",NA,NA,NA,NA
"4","Tupaia_belangeri_RNU6-8_ENSTBEG00000018722","Div",NA,NA,NA,NA
"5","Cervus_hanglu_yarkandensis_RNU6-2_ENSCHYG00000001013","Div",NA,NA,NA,NA
"6","SynU61-13","Syn",NA,NA,NA,NA
"7","SynU61-43","Syn",NA,NA,NA,NA
"8","SynU61_3BP_Spacer-96","Syn",NA,NA,NA,NA
"9","Microtus_ochrogaster_RNU6-8_ENSMOCG00000005197","Div",NA,NA,NA,NA
"10","SynU61-9","Syn",NA,NA,NA,NA
"11","SynU61-34","Syn",NA,NA,NA,NA
"12","SynU61_3BP_Spacer-94","Syn",NA,NA,NA,NA
"13","SynU61_3BP_Spacer-83","Syn",NA,NA,NA,NA
"14","SynU61_3BP_Spacer-100","Syn",NA,NA,NA,NA
"15","Microtus_ochrogaster_RNU6-9_ENSMOCG00000005016","Div",NA,NA,NA,NA
"16","SynU61_3BP_Spacer-109","Syn",NA,NA,NA,NA
"17","SynU61-27","Syn",NA,NA,NA,NA
"18","Papio_anubis_U6_ENSPANG00000031022","Div",NA,NA,NA,NA
"19","SynU61_3BP_Spacer-106","Syn",NA,NA,NA,NA
"20","SynU61_3BP_Spacer-86","Syn",NA,NA,NA,NA
"21","SynU61-32","Syn",NA,NA,NA,NA
"22","SynU61-28","Syn",NA,NA,NA,NA
"23","SynU61-23","Syn",NA,NA,NA,NA
"24","Bos_grunniens_U6-2_ENSBGRG00000007371","Div",NA,NA,NA,NA
"25","SynU61-16","Syn",NA,NA,NA,NA
"26","Salmo_salar_RNU6-8_ENSSSAG00000015687","Div",NA,NA,NA,NA
"27","SynU6_VSPH-80","Syn",NA,NA,NA,NA
"28","Papio_anubis_RNU6-9_ENSPANG00000032941","Div",NA,NA,NA,NA
"29","SynU61_3BP_Spacer-97","Syn",NA,NA,NA,NA
"30","SynU61-17","Syn",NA,NA,NA,NA
"31","SynU6_VSPH-79","Syn",NA,NA,NA,NA
"32","SynU61-25","Syn",NA,NA,NA,NA
"33","SynU6_VSPH-58","Syn",NA,NA,NA,NA
"34","SynU6_VSPH-59","Syn",0.281877348226669,1.90866962312035,0.119737665299479,0.372644169837202
"35","SynU61_3BP_Spacer-112","Syn",0.110403439008736,0.0476283666753819,0.0883788643888612,0.0702222934340359
"36","SynU6_VSPH-65","Syn",0.756507483342405,1.10593906733046,0.729497745893785,0.712946861163189
"37","SynU6_VSPH-67","Syn",2.57928392750283,3.46778728556626,1.35676097196876,0.531427100508295
"38","SynU61-37","Syn",0.674466362835863,1.78797630955745,0.894361692846207,0.988313030816996
"39","SynU61-12","Syn",0.634568564660467,1.88557426432101,0.339486821717981,0.144916647963802
"40","SynU6_VSPH-60","Syn",0.03073401192491,0.0539873356135118,0.0231395837078206,0.0141702283943312
"41","Human_Weissman_RNU6-1","RNU6-1",6.91002311360978,2.973645998985,5.96894976728058,3.59084266106057
