Oligo_Number,K562_Rep_1_Normalized_Edit_Score,K562_Rep_3_Normalized_Edit_Score,K562_Rep_2_Normalized_Edit_Score,K562_Rep_4_Normalized_Edit_Score,HEK293T_Rep_4_Normalized_Edit_Score,HEK293T_Rep_3_Normalized_Edit_Score,HEK293T_Rep_2_Normalized_Edit_Score,HEK293T_Rep_1_Normalized_Edit_Score,iPSC_Rep_1_Normalized_Edit_Score,iPSC_Rep_2_Normalized_Edit_Score,iPSC_Rep_4_Normalized_Edit_Score,iPSC_Rep_3_Normalized_Edit_Score
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,0.213615521,NA,22.42907087,0.131423783,8.460476033,4.484379567,15.86770471,0.140832804,4.952186622,1.101093741,NA,8.021991931
43,NA,0.363600814,NA,NA,0.083765432,0.066512667,NA,NA,NA,NA,NA,NA
160,0.09559722,0.105895023,NA,29.28975666,0.995349728,3.099381588,0.087939509,0.567229478,5.203258267,0.24638074,10.41672898,3.175770904
68,0.081886429,0.090707296,NA,NA,0.066870133,0.039822909,NA,0.053986224,NA,NA,0.998348068,0.354820951
275,15.22872487,0.124956848,0.116120281,NA,0.092119172,0.018286457,6.900653025,0.074370516,NA,0.581461897,0.171913441,0.651727176
292,0.227153315,0.12581122,NA,NA,3.895458934,5.099982017,0.156718085,0.299516048,1.144788995,1.756312643,0.605811049,3.773053714
22,0.073970547,NA,NA,NA,0.015101465,0.023982178,0.034022608,NA,NA,NA,NA,1.068402504
63,NA,NA,0.243158207,0.096885888,0.176824452,0.089348487,0.289726444,0.311466715,4.444406349,1.623457228,0.419988575,0.227454972
277,0.106004093,NA,NA,8.086963411,2.034280106,7.200065518,8.337340189,0.279546235,0.213692358,5.464043179,3.473290875,6.736764691
49,NA,0.082097269,0.076291601,0.091194695,0.030261377,0.384457372,NA,0.048861798,0.896429273,NA,NA,5.459396871
16,22.49172812,74.44528362,50.46450804,43.66747982,49.95989831,54.03577053,72.26031912,90.03582129,33.93772483,17.52908412,16.77931305,25.7749778
115,0.7136987,NA,0.08163017,NA,0.032378942,NA,NA,NA,NA,0.408755759,3.988103288,1.145377016
144,3.52672328,NA,1.025971298,0.18867515,0.015652143,0.944554315,0.105789749,0.101091484,4.327508616,NA,NA,NA
