Cell_Type,Replicate,BC_Pool,Total_Replicate_Read_Count,Total_FASTQ_Read_Count,Edit_Efficiency_Percent
K562,1,1,106760,13254864,0.805440177
K562,2,1,135295,16480309,0.820949413
K562,3,1,62844,8347665,0.752833277
K562,4,1,48277,11592385,0.416454422
HEK293T,1,1,221398,4492103,4.928604709
HEK293T,2,1,138101,2529840,5.458882775
HEK293T,3,1,132065,2568618,5.14148075
HEK293T,4,1,198698,3852762,5.157287162
iPSC,1,1,134669,2512303,5.360380496
iPSC,2,1,85014,1536325,5.53359478
iPSC,3,1,100826,1750935,5.758409079
iPSC,4,1,92961,1666230,5.57912173
K562,1,2,38953,10061605,0.387144993
K562,2,2,37841,11199152,0.337891655
K562,3,2,35165,12914716,0.272286282
K562,4,2,31657,13934729,0.227180593
HEK293T,1,2,59084,4492103,1.315285958
HEK293T,2,2,84690,2529840,3.347642539
HEK293T,3,2,240293,2568618,9.354952741
HEK293T,4,2,190801,3852762,4.952317325
iPSC,1,2,19323,2512303,0.769134933
iPSC,2,2,15114,1536325,0.983776219
iPSC,3,2,26969,1750935,1.540262774
iPSC,4,2,51120,1666230,3.068003817
