"","Cell_Type","Replicate","BC_Pool","Total_Replicate_Read_Count","Total_FASTQ_Read_Count","Edit_Efficiency_Percent"
"1","K562",1,"1",106760,13254864,0.805440176526896
"2","K562",2,"1",135295,16480309,0.820949413023748
"3","K562",3,"1",62844,8347665,0.752833277329648
"4","K562",4,"1",48277,11592385,0.4164544224506
"5","HEK293T",1,"1",221398,4492103,4.92860470919745
"6","HEK293T",2,"1",138101,2529840,5.45888277519527
"7","HEK293T",3,"1",132065,2568618,5.14148074957039
"8","HEK293T",4,"1",198698,3852762,5.1572871617816
"9","iPSC",1,"1",134669,2512303,5.36038049550552
"10","iPSC",2,"1",85014,1536325,5.53359477975038
"11","iPSC",3,"1",100826,1750935,5.75840907857802
"12","iPSC",4,"1",92961,1666230,5.57912172989323
"13","K562",1,"2",38953,10061605,0.387144993268967
"14","K562",2,"2",37841,11199152,0.337891654653852
"15","K562",3,"2",35165,12914716,0.27228628178893
"16","K562",4,"2",31657,13934729,0.227180593178382
"17","HEK293T",1,"2",59084,4492103,1.31528595849205
"18","HEK293T",2,"2",84690,2529840,3.34764253865857
"19","HEK293T",3,"2",240293,2568618,9.35495274112383
"20","HEK293T",4,"2",190801,3852762,4.95231732455833
"21","iPSC",1,"2",19323,2512303,0.769134933166899
"22","iPSC",2,"2",15114,1536325,0.983776219224448
"23","iPSC",3,"2",26969,1750935,1.54026277388938
"24","iPSC",4,"2",51120,1666230,3.06800381700005
